Jobs__id,Jobs__name,Jobs__media_id,Jobs__job_category_id,Jobs__job_type_id,Jobs__description,Jobs__detail,Jobs__business_skill,Jobs__knowledge,Jobs__location,Jobs__activity,Jobs__academic_degree_doctor,Jobs__academic_degree_master,Jobs__academic_degree_professional,Jobs__academic_degree_bachelor,Jobs__salary_statistic_group,Jobs__salary_range_first_year,Jobs__salary_range_average,Jobs__salary_range_remarks,Jobs__restriction,Jobs__estimated_total_workers,Jobs__remarks,Jobs__url,Jobs__seo_description,Jobs__seo_keywords,Jobs__sort_order,Jobs__publish_status,Jobs__version,Jobs__created_by,Jobs__created,Jobs__modified,Jobs__deleted,JobCategories__id,JobCategories__name,JobCategories__sort_order,JobCategories__created_by,JobCategories__created,JobCategories__modified,JobCategories__deleted,JobTypes__id,JobTypes__name,JobTypes__job_category_id,JobTypes__sort_order,JobTypes__created_by,JobTypes__created,JobTypes__modified,JobTypes__deleted
100000,キャビンアテンダント 100000,100000,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,500,経験で変動,健康条件あり,12000,人気職種,https://example.com/jobs/100000,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99990,キャビンアテンダント 99990,99990,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,470,経験で変動,健康条件あり,12990,人気職種,https://example.com/jobs/99990,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99980,キャビンアテンダント 99980,99980,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,510,経験で変動,健康条件あり,12980,人気職種,https://example.com/jobs/99980,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99970,キャビンアテンダント 99970,99970,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,480,経験で変動,健康条件あり,12970,人気職種,https://example.com/jobs/99970,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99960,キャビンアテンダント 99960,99960,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,1,1,航空業界,350,450,経験で変動,健康条件あり,12960,人気職種,https://example.com/jobs/99960,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99950,キャビンアテンダント 99950,99950,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,490,経験で変動,健康条件あり,12950,人気職種,https://example.com/jobs/99950,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99940,キャビンアテンダント 99940,99940,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,460,経験で変動,健康条件あり,12940,人気職種,https://example.com/jobs/99940,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99930,キャビンアテンダント 99930,99930,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,500,経験で変動,健康条件あり,12930,人気職種,https://example.com/jobs/99930,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99920,キャビンアテンダント 99920,99920,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,470,経験で変動,健康条件あり,12920,人気職種,https://example.com/jobs/99920,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99910,キャビンアテンダント 99910,99910,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,510,経験で変動,健康条件あり,12910,人気職種,https://example.com/jobs/99910,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99900,キャビンアテンダント 99900,99900,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,480,経験で変動,健康条件あり,12900,人気職種,https://example.com/jobs/99900,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99890,キャビンアテンダント 99890,99890,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,1,0,航空業界,350,450,経験で変動,健康条件あり,12890,人気職種,https://example.com/jobs/99890,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99880,キャビンアテンダント 99880,99880,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,490,経験で変動,健康条件あり,12880,人気職種,https://example.com/jobs/99880,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99870,キャビンアテンダント 99870,99870,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,460,経験で変動,健康条件あり,12870,人気職種,https://example.com/jobs/99870,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99860,キャビンアテンダント 99860,99860,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,500,経験で変動,健康条件あり,12860,人気職種,https://example.com/jobs/99860,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99850,キャビンアテンダント 99850,99850,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,470,経験で変動,健康条件あり,12850,人気職種,https://example.com/jobs/99850,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99840,キャビンアテンダント 99840,99840,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,510,経験で変動,健康条件あり,12840,人気職種,https://example.com/jobs/99840,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99830,キャビンアテンダント 99830,99830,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,480,経験で変動,健康条件あり,12830,人気職種,https://example.com/jobs/99830,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99820,キャビンアテンダント 99820,99820,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,1,0,航空業界,350,450,経験で変動,健康条件あり,12820,人気職種,https://example.com/jobs/99820,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99810,キャビンアテンダント 99810,99810,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,490,経験で変動,健康条件あり,12810,人気職種,https://example.com/jobs/99810,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99800,キャビンアテンダント 99800,99800,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,460,経験で変動,健康条件あり,12800,人気職種,https://example.com/jobs/99800,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99790,キャビンアテンダント 99790,99790,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,500,経験で変動,健康条件あり,12790,人気職種,https://example.com/jobs/99790,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99780,キャビンアテンダント 99780,99780,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,470,経験で変動,健康条件あり,12780,人気職種,https://example.com/jobs/99780,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
